,rank,actor,actor_score
849,850, Virginia Madsen,15
850,851, James Marsden,15
851,852, Tim Allen,15
852,853, Giovanni Ribisi,15
853,854, Rutger Hauer,15
854,855, Vince Vaughn,15
855,856, Brian Cox,15
856,857, Dennis Quaid,15
857,858, John Leguizamo,15
858,859, Michael Keaton,15
859,860, Billy Burke,14
860,861, Brendan Gleeson,14
861,862, Clark Gregg,14
862,863, Jonathan Pryce,14
863,864, Tobey Maguire,14
864,865, Michael Sheen,14
865,866, Justin Long,14
866,867, Kellan Lutz,14
867,868, Jack Black,14
868,869, Pierce Brosnan,14
869,870, Sean Bean,13
870,871, Cedric the Entertainer,13
871,872, Mahershala Ali,13
872,873, Josh Duhamel,13
873,874, Jon Favreau,13
874,875, Danny Glover,13
875,876, Freida Pinto,13
876,877, Hilary Duff,13
877,878, Mary Elizabeth Winstead,13
878,879, Jennifer Coolidge,13
879,880, Andrea Riseborough,12
880,881, Molly Ringwald,12
881,882, January Jones,12
882,883, Maya Rudolph,12
883,884, Sophie Marceau,12
884,885, Olga Kurylenko,12
885,886, Franka Potente,12
886,887, Rashida Jones,12
887,888, Alicia Silverstone,12
888,889, Rosie Huntington-Whiteley,12
889,890, Lillian Gish,11
890,891, Evangeline Lilly,11
891,892, Mireille Enos,11
892,893, Jennifer Love Hewitt,11
893,894, Emmy Rossum,11
894,895, Joey King,11
895,896, Ginnifer Goodwin,11
896,897, Christine Taylor,11
897,898, Vanessa Hudgens,11
898,899, Abbie Cornish,11
899,900, Michelle Yeoh,10
900,901, Ian Holm,10
901,902, Nathan Lane,10
902,903, Cary Elwes,10
903,904, Martin Lawrence,10
904,905, Steve Coogan,10
905,906, Sacha Baron Cohen,10
906,907, Jeffrey Wright,10
907,908, Jackie Chan,10
908,909, Aaron Eckhart,10
909,910, Sam Worthington,9
910,911, Jack Davenport,9
911,912, Alfred Molina,9
912,913, Justin Bartha,9
913,914, Mark Hamill,9
914,915, Brendan Fraser,9
915,916, Ice Cube,9
916,917, Liev Schreiber,9
917,918, Ed Helms,9
918,919, Val Kilmer,9
919,920, Russell Brand,8
920,921, Craig T. Nelson,8
921,922, Bernie Mac,8
922,923, Patrick Stewart,8
923,924, Seth Green,8
924,925, Ashton Kutcher,8
925,926, Randy Quaid,8
926,927, Wesley Snipes,8
927,928, David Oyelowo,8
928,929, Mark Strong,8
929,930, Rob Schneider,7
930,931, Jay Baruchel,7
931,932, Hayden Christensen,7
932,933, Ray Stevenson,7
933,934, Paul Bettany,7
934,935, Hugh Laurie,7
935,936, Chris Tucker,7
936,937, Nick Swardson,7
937,938, Josh Lucas,7
938,939, Chris O'Donnell,7
939,940, Benjamin Bratt,6
940,941, Common,6
941,942, Johnny Knoxville,6
942,943, Marlon Wayans,6
943,944, Jai Courtney,6
944,945, Albert Brooks,6
945,946, Macaulay Culkin,6
946,947, Sam Elliott,6
947,948, Jim Caviezel,6
948,949, Paul Scofield,6
949,950, Jared Harris,5
950,951, Harpo Marx,5
951,952, Jason Sudeikis,5
952,953, Josh Hartnett,5
953,954, Patrick Wilson,5
